tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-sex,attachment-type,deploy-on-person
#1819147,99,Loxodonta africana,,,,,
#1819149,9A,Loxodonta africana,,,,,
#1819151,BC,Loxodonta africana,,,,,
#1819153,9D,Loxodonta africana,,,,,
#1819155,40013,Loxodonta africana,,,,,
#1819157,40012,Loxodonta africana,,,,,
#1819159,39062,Loxodonta africana,,,,,
#1819161,130,Loxodonta africana,,,,,
#1819163,131,Loxodonta africana,,,,,
#1819165,132,Loxodonta africana,,,,,
#1819167,133,Loxodonta africana,,,,,
#1819169,134,Loxodonta africana,,,,,
#1819171,135,Loxodonta africana,,,,,
#1819173,136,Loxodonta africana,,,,,
#1819175,4D,Loxodonta africana,,,,,
#1819177,00055871VTIAD78,Loxodonta africana,,,,,
#1819179,00055877VTIC596,Loxodonta africana,,,,,
#1819181,00055879VTICDA0,Loxodonta africana,,,,,
#1819183,00055882VTI59AF,Loxodonta africana,,,,,
#1819185,00055894VTI89EB,Loxodonta africana,,,,,
#1819187,00055896VTI91F5,Loxodonta africana,,,,,
#1819189,00039372VTI1F39,Loxodonta africana,,,,,
#1819191,00038386VTIA3F7,Loxodonta africana,,,,,
#1819193,00039561VTI96EA,Loxodonta africana,,,,,
#1819195,00039109VTI7E16,Loxodonta africana,,,,,
#1819197,00039576VTI5335,Loxodonta africana,,,,,
#1819199,00056243VTI84BC,Loxodonta africana,,,,,
#1819201,00056235VTI6494,Loxodonta africana,,,,,
#1819203,00056231VTI5480,Loxodonta africana,,,,,
#1819205,00056236VTIE899,Loxodonta africana,,,,,
211,Sharon,Loxodonta cyclotis,2007-01-17 09:57:00.000,,f,collar,"Blake, Kock"
212,Mossimbo,Loxodonta cyclotis,2007-01-18 08:50:39.000,,m,,
213,Mwasi a Mossimbo,Loxodonta cyclotis,2007-01-22 14:33:04.000,,f,,
214,Madame Nguende,Loxodonta cyclotis,2007-01-25 14:42:12.000,,f,,"Blake, Kock"
,211,,,,,,
,212,,,,,,
,213,,,,,,
,214,,,,,,
