,event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,geometry,stationTemp,elevation
0,7980585123,True,2009-07-31 01:20:00,15.80728861,-19.14692179,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.80728861 -19.14692179),,290
1,7980585124,True,2009-07-31 05:20:00,15.79819132,-19.14366659,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.79819132 -19.14366659),7.9,294
2,7980585125,True,2009-07-31 07:20:00,15.80796916,-19.14379883,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.80796916 -19.14379883),15.0,290
3,7980585126,True,2009-07-31 12:21:00,15.82869364,-19.15091553,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.82869364 -19.15091553),,286
4,7980585127,True,2009-07-31 13:20:00,15.82927653,-19.15079753,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.82927653 -19.15079753),18.757142857142856,291
5,7980585128,True,2009-07-31 13:21:00,15.82933248,-19.150760899999998,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.82933248 -19.1507609),,291
6,7980585129,True,2009-07-31 18:40:00,15.83796183,-19.14591268,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.83796183 -19.14591268),10.166666666666668,292
7,7980585130,True,2009-07-31 21:21:00,15.84276632,-19.14241943,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.84276632 -19.14241943),,284
8,7980585131,True,2009-08-01 01:21:00,15.84681396,-19.14587199,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.84681396 -19.14587199),,291
9,7980585132,True,2009-08-01 02:20:00,15.85151265,-19.1465861,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.85151265 -19.1465861),5.85,292
10,7980585133,True,2009-08-01 03:01:00,15.85269063,-19.14625448,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.85269063 -19.14625448),5.233333333333333,294
11,7980585134,True,2009-08-01 05:41:00,15.86516215,-19.14680176,gps,Loxodonta africana,AG194,LA15,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.86516215 -19.14680176),4.0,291
